"Quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","chlorides"
"Low",6.9,0.27,0.49,23.5,59,235,1.0024,2.98,0.47,8.6,"Lots"
"High",8.1,0.2,0.49,11.8,46,212,0.9968,3.09,0.46,10,"Little"
"High",7.8,0.26,0.49,3.2,28,87,0.9919,3.03,0.32,11.3,"Little"
"High",8,0.14,0.49,1.5,42,120,0.9928,3.26,0.4,10.6,"Little"
"Low",8,0.29,0.49,11.7,40,131,0.9958,3.14,0.34,10.8,"Little"
"High",6.2,0.22,0.49,6,31,128,0.9928,3.41,0.36,11.3,"Little"
"High",7.8,0.26,0.49,3.2,28,87,0.9919,3.03,0.32,11.3,"Little"
"Low",8.9,0.32,0.49,1.6,17,131,0.9956,3.13,0.34,9.4,"Lots"
"High",9,0.17,0.49,1,46,131,0.993,3.09,0.51,10.5,"Little"
"Low",8.9,0.32,0.49,1.6,17,131,0.9956,3.13,0.34,9.4,"Lots"
"Low",6.9,0.25,0.24,1.8,6,121,0.993,3.23,0.7,11.4,"Lots"
"High",7.1,0.28,0.49,6.5,28,111,0.9926,3.41,0.58,12.2,"Little"
"High",7.4,0.19,0.49,6.7,15,110,0.9938,3.2,0.38,11,"Little"
"Low",7.8,0.49,0.49,7,29,149,0.9952,3.21,0.33,10,"Little"
"Low",7.6,0.47,0.49,13,42,220,0.9988,2.96,0.51,9.2,"Lots"
"Low",7.9,0.22,0.49,3.8,26,105,0.993,3.1,0.39,10.5,"Little"
"Low",7.8,0.49,0.49,7,29,149,0.9952,3.21,0.33,10,"Little"
"High",7.3,0.19,0.49,15.55,50,134,0.9998,3.42,0.36,9.1,"Lots"
"High",8.1,0.3,0.49,12.3,50,144,0.9971,3.09,0.57,10.2,"Little"
"High",7.3,0.19,0.49,15.55,50,134,0.9998,3.42,0.36,9.1,"Lots"
"High",7.5,0.24,0.49,9.4,50,149,0.9962,3.17,0.59,10.5,"Little"
"High",7.8,0.21,0.49,1.2,20,99,0.99,3.05,0.28,12.1,"Little"
"Low",7.1,0.3,0.49,1.6,31,100,0.9942,3.4,0.59,10.2,"Little"
"Low",6.9,0.26,0.49,1.6,39,166,0.9965,3.65,0.52,9.4,"Lots"
"High",7.6,0.31,0.49,3.95,27,131,0.9912,3.08,0.67,12.8,"Little"
"Low",8.2,0.29,0.49,1,29,118,0.9928,3.24,0.36,10.9,"Little"
"Low",6.6,0.46,0.49,7.4,19,184,0.9956,3.11,0.38,9,"Lots"
"Low",7.8,0.28,0.49,1.3,27,142,0.9936,3.09,0.59,10.2,"Little"
"Low",5.8,0.15,0.49,1.1,21,98,0.9929,3.19,0.48,9.2,"Little"
"Low",6.6,0.31,0.49,7.7,52,220,0.9964,3.12,0.45,8.8,"Lots"
"Low",6.6,0.325,0.49,7.7,53,217,0.996,3.16,0.4,9.3,"Little"
"High",6.7,0.21,0.49,1.4,30,114,0.9914,2.92,0.42,10.8,"Little"
"Low",8.1,0.28,0.46,15.4,32,177,1.0004,3.27,0.58,9,"Lots"
"High",6.5,0.13,0.37,1,48,114,0.9911,3.41,0.51,11.5,"Little"
"Low",7.8,0.445,0.56,1,8,84,0.9938,3.25,0.43,10.8,"Little"
"High",7.9,0.18,0.33,1.2,20,72,0.9922,3.12,0.38,10.5,"Little"
"High",7,0.35,0.3,6.5,27,87,0.9936,3.4,0.42,11.4,"Little"
"Low",6.6,0.26,0.31,4.8,41,168,0.9951,3.2,0.38,9.3,"Lots"
"Low",6.6,0.27,0.31,5.3,35,163,0.9951,3.2,0.38,9.3,"Lots"
"Low",6.2,0.27,0.32,8.8,65,224,0.9961,3.17,0.47,8.9,"Little"
"High",7,0.35,0.3,6.5,27,87,0.9936,3.4,0.42,11.4,"Little"
"Low",6.4,0.35,0.2,5.7,18,117,0.9944,3.33,0.43,10.1,"Little"
"Low",7.6,0.32,0.34,18.35,44,197,1.0008,3.22,0.55,9,"Lots"
"High",7.2,0.25,0.28,14.4,55,205,0.9986,3.12,0.38,9,"Lots"
"High",7.2,0.25,0.28,14.4,55,205,0.9986,3.12,0.38,9,"Lots"
"High",7.3,0.26,0.33,17.85,41.5,195,1,3.06,0.44,9.1,"Little"
"High",7.2,0.25,0.28,14.4,55,205,0.9986,3.12,0.38,9,"Lots"
"Low",7.4,0.26,0.37,9.4,42,147,0.9982,3.46,0.72,10,"Little"
"High",7.3,0.26,0.33,17.85,41.5,195,1,3.06,0.44,9.1,"Little"
"Low",6.7,0.25,0.26,1.55,118.5,216,0.9949,3.55,0.63,9.4,"Little"
"Low",9,0.43,0.3,1.5,7,175,0.9951,3.11,0.45,9.7,"Lots"
"High",7.2,0.25,0.28,14.4,55,205,0.9986,3.12,0.38,9,"Lots"
"Low",6.7,0.265,0.22,8.6,54,198,0.9955,3.25,0.41,10.2,"Little"
"Low",7.9,0.29,0.36,11.1,43,208,0.9969,3.14,0.46,10.3,"Little"
"Low",6.5,0.27,0.19,4.2,6,114,0.9955,3.25,0.35,8.6,"Little"
"Low",6.7,0.33,0.42,6.4,27,151,0.9954,3.16,0.44,9.6,"Lots"
"Low",6.7,0.31,0.42,6.4,25,148,0.9955,3.16,0.45,9.6,"Lots"
"Low",6.8,0.26,0.29,16.95,48,179,0.9998,3.45,0.4,9.6,"Lots"
"Low",7,0.61,0.26,1.7,25,161,0.9946,3.36,0.6,10.6,"Lots"
"Low",6.8,0.22,0.3,13.6,50,180,0.9984,3.44,0.39,9.8,"Lots"
"Low",8.1,0.31,0.24,1.6,10,67,0.9924,3.08,0.47,10.5,"Little"
"Low",7,0.2,0.3,6.1,31,120,0.9939,3.24,0.51,10.8,"Little"
"Low",6.8,0.3,0.24,6.6,35,116,0.9953,3.07,0.48,9.4,"Lots"
"High",6.5,0.18,0.34,1.6,43,148,0.9912,3.32,0.59,11.5,"Little"
"Low",9.3,0.2,0.33,1.7,28,178,0.9954,3.16,0.43,9,"Lots"
"High",7.6,0.2,0.39,2.6,30,180,0.9941,3.46,0.44,10.8,"Little"
"High",8.2,0.15,0.48,2.7,24,190,0.995,3.5,0.45,10.9,"Lots"
"High",6.5,0.18,0.34,1.6,43,148,0.9912,3.32,0.59,11.5,"Little"
"Low",6.8,0.3,0.24,6.6,35,116,0.9953,3.07,0.48,9.4,"Lots"
"Low",6.6,0.545,0.04,2.5,48,111,0.9906,3.14,0.32,11.9,"Little"
"Low",6.1,0.22,0.23,3.1,15,104,0.9948,3.14,0.42,8.7,"Lots"
"Low",7.5,0.15,0.38,1.8,19,101,0.9946,3.24,0.44,10,"Lots"
"Low",8.4,0.29,0.29,1.05,4,55,0.9908,2.91,0.32,11.4,"Little"
"Low",6.6,0.22,0.58,1.1,52,136,0.9932,3.1,0.3,9.1,"Lots"
"Low",6.1,0.34,0.31,12,46,238,0.9977,3.16,0.48,8.6,"Lots"
"Low",7.5,0.22,0.29,4.8,33,87,0.994,3.14,0.42,9.9,"Lots"
"Low",8,0.27,0.24,1.2,20,102,0.9929,3.28,0.42,10.9,"Little"
"High",6.7,0.16,0.28,2.5,40,153,0.9921,3.38,0.51,11.4,"Little"
"High",7.4,0.23,0.25,1.4,43,141,0.9934,3.42,0.54,10.2,"Little"
"Low",6.7,0.27,0.25,8,54,202,0.9961,3.22,0.43,9.3,"Lots"
"Low",6.9,0.29,0.23,8.6,56,215,0.9967,3.17,0.44,8.8,"Lots"
"Low",9.6,0.21,0.28,1.2,12,53,0.9926,2.8,0.46,10.6,"Little"
"Low",6.6,0.62,0.2,8.7,81,224,0.99605,3.17,0.44,9.3,"Little"
"High",6.4,0.17,0.27,1.5,20,98,0.9916,3.46,0.42,11,"Little"
"Low",6.7,0.27,0.25,8,54,202,0.9961,3.22,0.43,9.3,"Lots"
"Low",6.9,0.29,0.23,8.6,56,215,0.9967,3.17,0.44,8.8,"Lots"
"Low",6.6,0.32,0.26,7.7,56,209,0.9961,3.17,0.45,8.8,"Lots"
"Low",7.4,0.32,0.22,1.7,50,179,0.9955,3.28,0.69,8.9,"Lots"
"Low",6.6,0.37,0.07,1.4,58,144,0.9922,3.17,0.38,10,"Little"
"High",7.7,0.43,0.28,4.5,33,102,0.9918,3.16,0.56,12.2,"Little"
"Low",6.6,0.25,0.35,14,42,163,0.999,3.56,0.47,9.8,"Lots"
"High",6.4,0.15,0.36,1.8,43,150,0.9922,3.42,0.69,11,"Little"
"High",6.4,0.15,0.36,1.8,43,150,0.9922,3.42,0.69,11,"Little"
"Low",8.4,0.17,0.31,5.4,47,150,0.9953,3.24,0.38,9.8,"Lots"
"Low",6.1,0.32,0.37,1.8,13,200,0.9945,3.49,0.44,10.5,"Lots"
"High",6.7,0.24,0.29,6.8,54,127,0.9932,3.33,0.46,11.6,"Little"
"High",7.4,0.33,0.26,2.6,29,115,0.9913,3.07,0.52,11.8,"Little"
"High",7.2,0.26,0.3,2.1,50,158,0.9909,3.33,0.43,12.1,"Little"
"Low",8.2,0.36,0.29,7.6,37,122,0.9939,3.16,0.34,12,"Little"
"High",7.8,0.2,0.24,1.6,26,189,0.991,3.08,0.74,12.1,"Little"
"Low",9.4,0.16,0.3,1.4,26,176,0.9954,3.15,0.46,9.1,"Little"
"Low",6.4,0.33,0.24,1.6,25,117,0.9943,3.36,0.5,9.3,"Lots"
"Low",7.4,0.35,0.31,17.95,42,187,1.0002,3.27,0.64,9.1,"Lots"
"Low",6.6,0.37,0.24,2,23,120,0.9946,3.32,0.54,9.4,"Lots"
"Low",7.1,0.37,0.32,1.4,27,126,0.9918,3.19,0.62,12,"Little"
"High",6.9,0.25,0.27,9.05,37,128,0.9936,3.27,0.34,11.3,"Little"
"Low",9.4,0.16,0.23,1.6,14,67,0.9942,3.07,0.32,9.5,"Little"
"Low",7.5,0.33,0.39,12.4,29,119,0.9974,3.16,0.39,9.4,"Lots"
"Low",7.6,0.38,0.2,3.4,9,116,0.9944,3.15,0.41,9.4,"Little"
"Low",7.5,0.33,0.39,12.4,29,119,0.9974,3.16,0.39,9.4,"Lots"
"Low",7.6,0.38,0.2,3.4,9,116,0.9944,3.15,0.41,9.4,"Little"
"High",8.2,0.42,0.29,4.1,31,100,0.9911,3,0.32,12.8,"Little"
"High",6.7,0.27,0.3,13.9,34,131,0.9953,3.36,0.5,12,"Little"
"Low",7.2,0.5,0,0.8,46,114,0.9932,3.19,0.34,9.2,"Little"
"Low",7.4,0.29,0.31,1.7,23,110,0.9926,3.07,0.38,10.9,"Little"
"High",8.2,0.42,0.29,4.1,31,100,0.9911,3,0.32,12.8,"Little"
"Low",6.5,0.32,0.12,11.5,35,165,0.9974,3.22,0.32,9,"Little"
"Low",7.1,0.32,0.4,1.5,13,84,0.9944,3.42,0.6,10.4,"Little"
"Low",6.5,0.32,0.12,11.5,35,165,0.9974,3.22,0.32,9,"Little"
"High",7.7,0.44,0.24,11.2,41,167,0.9948,3.12,0.43,11.3,"Little"
"High",7.7,0.44,0.24,11.2,41,167,0.9948,3.12,0.43,11.3,"Little"
"High",7.4,0.49,0.24,15.1,34,153,0.9953,3.13,0.51,12,"Little"
"High",7.7,0.44,0.24,11.2,41,167,0.9948,3.12,0.43,11.3,"Little"
"High",7.4,0.49,0.24,15.1,34,153,0.9953,3.13,0.51,12,"Little"
"Low",8,0.55,0.42,12.6,37,213,0.9988,2.99,0.56,9.3,"Lots"
"High",7.2,0.24,0.29,2.2,37,102,0.992,3.27,0.64,11,"Little"
"Low",6.9,0.18,0.33,1,24,164,0.9926,3.42,0.51,10.5,"Lots"
"High",7.2,0.24,0.29,2.2,37,102,0.992,3.27,0.64,11,"Little"
"Low",7.4,0.44,0.2,11.5,44,157,0.998,3.27,0.44,9,"Little"
"Low",7.6,0.26,0.58,7.9,62,180,0.9966,3.07,0.38,9,"Little"
"Low",7.4,0.44,0.2,11.5,44,157,0.998,3.27,0.44,9,"Little"
"Low",8.7,0.49,0.57,17.8,34,243,1.0007,2.98,0.82,9,"Lots"
"High",7.1,0.25,0.25,1.6,50,181,0.9925,3.2,0.42,11,"Little"
"High",6.4,0.18,0.31,1.6,36,127,0.9934,3.6,0.67,10.4,"Little"
"Low",8.3,0.27,0.39,2.4,16,107,0.9955,3.28,0.59,10.3,"Lots"
"High",6.8,0.24,0.35,6.4,44,172,0.9944,3.29,0.55,10.5,"Little"
"Low",10,0.91,0.42,1.6,34,181,0.9968,3.11,0.46,10,"Lots"
"Low",8.9,0.34,0.34,1.6,13,176,0.9946,3.14,0.47,9.7,"Lots"
"Low",8.9,0.33,0.34,1.4,14,171,0.9946,3.13,0.47,9.7,"Lots"
"High",7.3,0.13,0.31,2.3,22,104,0.9924,3.24,0.92,11.5,"Lots"
"Low",6.6,0.28,0.3,7.8,57,202,0.9958,3.24,0.39,9.5,"Little"
"High",7.4,0.21,0.27,7.3,41,144,0.9932,3.15,0.38,11.8,"Little"
"High",8.2,0.18,0.28,8.5,41,140,0.9952,3.04,0.37,10.1,"Little"
"Low",5.8,0.33,0.2,16.05,26,166,0.9976,3.09,0.46,8.9,"Little"
"Low",5.8,0.33,0.2,16.05,26,166,0.9976,3.09,0.46,8.9,"Little"
"Low",7.9,0.29,0.31,7.35,37,154,0.9938,3.06,0.31,10.8,"Little"
"Low",6.6,0.31,0.38,16.05,16,165,0.9997,3.38,0.6,9.2,"Lots"
"Low",7.7,0.3,0.42,14.3,45,213,0.9991,3.18,0.63,9.2,"Little"
"Low",7.7,0.3,0.42,14.3,45,213,0.9991,3.18,0.63,9.2,"Little"
"Low",7.7,0.3,0.42,14.3,45,213,0.9991,3.18,0.63,9.2,"Little"
"Low",6.4,0.22,0.32,7.9,34,124,0.9948,3.4,0.39,10.2,"Little"
"Low",7,0.53,0.02,1,39,107,0.993,3.2,0.32,9,"Little"
"Low",7.3,0.24,0.41,13.6,41,178,0.9988,3.37,0.43,9.7,"Lots"
"Low",7.2,0.24,0.4,17.85,50,185,1,3.34,0.42,9.6,"Little"
"Low",7.6,0.15,0.4,1.3,24,112,0.9932,3.14,0.76,10,"Little"
"Low",7.7,0.3,0.42,14.3,45,213,0.9991,3.18,0.63,9.2,"Little"
"Low",7.6,0.33,0.41,13.7,44,197,0.9989,3.18,0.64,9.1,"Little"
"Low",6.8,0.24,0.31,18.3,40,142,1,3.3,0.41,8.7,"Little"
"Low",6.8,0.24,0.31,18.3,40,142,1,3.3,0.41,8.7,"Little"
"Low",6.8,0.35,0.44,6.5,31,161,0.9952,3.14,0.44,9.5,"Lots"
"High",6.7,0.44,0.31,1.9,41,104,0.99,3.29,0.62,12.6,"Little"
"Low",7.4,0.21,0.3,7.9,14,118,0.9942,2.96,0.34,10.4,"Little"
"Low",7.8,0.34,0.27,1.2,25,106,0.9932,3.01,0.55,10.4,"Little"
"Low",6,0.28,0.35,1.9,16,120,0.9933,3.16,0.69,10.6,"Little"
"High",7.9,0.37,0.3,2.7,64,158,0.9916,3.12,0.59,12,"Little"
"High",7.2,0.36,0.36,5.7,26,98,0.9914,2.93,0.59,12.5,"Little"
"Low",7.6,0.13,0.34,9.3,40,126,0.9966,3.21,0.39,9.6,"Lots"
"Low",6.6,0.25,0.36,8.1,54,180,0.9958,3.08,0.42,9.2,"Little"
"High",7.2,0.36,0.36,5.7,26,98,0.9914,2.93,0.59,12.5,"Little"
"Low",6.6,0.25,0.36,8.1,54,180,0.9958,3.08,0.42,9.2,"Little"
"High",8.1,0.26,0.33,11.1,52.5,158,0.9976,3.03,0.49,10.2,"Lots"
"Low",7.6,0.13,0.34,9.3,40,126,0.9966,3.21,0.39,9.6,"Lots"
"Low",7,0.12,0.19,4.9,27,127,0.9953,3.29,0.41,9.4,"Lots"
"Low",8.2,0.37,0.27,1.7,10,59,0.9923,2.97,0.48,10.4,"Little"
"Low",7.6,0.26,0.36,1.6,6,106,0.993,3.15,0.4,10.4,"Little"
"Low",7.1,0.25,0.28,1.6,46,169,0.9926,3.05,0.41,10.5,"Lots"
"Low",8.8,0.34,0.33,9.7,46,172,0.9966,3.08,0.4,10.2,"Little"
"Low",7.1,0.49,0.22,2,146.5,307.5,0.9924,3.24,0.37,11,"Little"
"Low",7.2,0.47,0.65,8.3,27,182,0.9964,3,0.35,9.2,"Lots"
"Low",8.8,0.34,0.33,9.7,46,172,0.9966,3.08,0.4,10.2,"Little"
"High",7.3,0.13,0.27,4.6,34,172,0.9938,3.23,0.39,11.1,"Lots"
"Low",7.2,0.16,0.35,1.2,27,84,0.9928,3.33,0.34,9.9,"Little"
"Low",6.8,0.31,0.32,7.6,35,143,0.9959,3.14,0.38,9,"Lots"
"Low",8.3,0.36,0.57,15,35,256,1.0001,2.93,0.64,8.6,"Lots"
"Low",6.8,0.31,0.32,7.6,35,143,0.9959,3.14,0.38,9,"Lots"
"Low",8.3,0.36,0.57,15,35,256,1.0001,2.93,0.64,8.6,"Lots"
"Low",6.3,0.25,0.44,11.6,48,195,0.9968,3.18,0.52,9.5,"Little"
"Low",6,0.45,0.42,1.1,61,197,0.9932,3.02,0.4,9,"Lots"
"Low",5.7,0.45,0.42,1.1,61,197,0.9932,3.02,0.4,9,"Lots"
"High",7.2,0.19,0.31,1.4,37,135,0.9939,3.34,0.57,10.2,"Little"
"Low",6.7,0.31,0.44,6.7,29,160,0.9952,3.04,0.44,9.6,"Lots"
"Low",8,0.25,0.13,17.2,49,219,0.9996,2.96,0.46,9.7,"Little"
"Low",9.9,1.005,0.46,1.4,34,185,0.9966,3.02,0.49,10.2,"Little"
"High",8.1,0.31,0.36,8.2,29,142,0.9925,3.01,0.34,13,"Little"
"Low",8,0.25,0.13,17.2,49,219,0.9996,2.96,0.46,9.7,"Little"
"Low",6.4,0.29,0.28,11.1,66,169,0.9973,2.89,0.57,9,"Lots"
"Low",7.2,0.15,0.33,1.1,16,63,0.9937,3.37,0.4,9.9,"Little"
"Low",8.5,0.17,0.31,1,13,91,0.993,2.79,0.37,10.1,"Little"
"Low",8.5,0.17,0.31,1,13,91,0.993,2.79,0.37,10.1,"Little"
"Low",9.5,0.21,0.47,1.3,21,123,0.9959,2.9,0.64,9.5,"Little"
"Low",8.2,0.21,0.48,1.4,11,99,0.9958,3.17,0.57,9.9,"Little"
"Low",6.8,0.31,0.42,6.9,50,173,0.9958,3.19,0.46,9,"Little"
"High",8,0.23,0.35,9.2,53,186,0.997,3.09,0.56,9.5,"Little"
"High",6.3,0.41,0.3,3.2,49,164,0.9927,3.53,0.79,11.7,"Little"
"High",6.3,0.41,0.3,3.2,49,164,0.9927,3.53,0.79,11.7,"Little"
"Low",7.6,0.2,0.26,4.5,37,133,0.9963,3.15,0.42,9.2,"Lots"
"Low",7.5,0.26,0.26,18.35,33,139,1.0011,3.17,0.39,8.8,"Lots"
"Low",7.5,0.26,0.26,18.35,33,139,1.0011,3.17,0.39,8.8,"Lots"
"Low",6.8,0.28,0.37,7,35,208,0.9973,3.57,0.55,10.2,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"Low",8.1,0.22,0.28,7.7,57,176,0.9954,3.12,0.55,10,"Little"
"High",7.1,0.33,0.3,3.3,30,102,0.9912,3.08,0.31,12.3,"Little"
"Low",6.4,0.43,0.27,1.1,5,110,0.9939,3.24,0.52,9.1,"Lots"
"High",7.6,0.2,0.3,14.2,53,212.5,0.999,3.14,0.46,8.9,"Lots"
"Low",7,0.12,0.28,6.3,17,103,0.9957,3.5,0.44,9.6,"Lots"
"Low",6.8,0.31,0.09,1.4,56,145,0.9922,3.19,0.46,10,"Little"
"Low",6.7,0.31,0.08,1.3,58,147,0.9922,3.18,0.46,10,"Little"
"Low",7.2,0.15,0.39,1.8,21,159,0.9948,3.52,0.47,10,"Little"
"High",8,0.4,0.33,7.7,27,98,0.9935,3.18,0.41,12.2,"Little"
"Low",7.2,0.15,0.39,1.8,21,159,0.9948,3.52,0.47,10,"Little"
"Low",6.8,0.18,0.46,1.4,37,160,0.9924,3.37,0.45,11.1,"Lots"
"Low",9,0.55,0.3,8.1,14,71,0.993,2.94,0.36,11.8,"Little"
"High",6.3,0.41,0.33,4.7,28,110,0.991,3.3,0.38,12.5,"Little"
"Low",9,0.55,0.3,8.1,14,71,0.993,2.94,0.36,11.8,"Little"
"High",7,0.2,0.34,2.1,12,136,0.9922,3.25,0.46,11.6,"Little"
"Low",8,0.43,0.4,12.4,29,190,0.9991,3.07,0.64,9.2,"Lots"
"Low",7.5,0.3,0.71,1.3,44,149,0.9948,3.08,0.42,8.9,"Lots"
"Low",6.4,0.26,0.4,1.7,5,60,0.9925,3.09,0.54,10.1,"Lots"
"Low",6.9,0.32,0.15,8.1,51,180,0.9958,3.13,0.45,8.9,"Little"
"Low",7.6,0.29,0.26,6.5,32,160,0.9944,3.14,0.47,10.7,"Little"
"Low",7.2,0.23,0.33,12.7,50,183,0.9987,3.41,0.4,9.8,"Little"
"Low",7.9,0.35,0.36,1.6,11,124,0.9928,3.25,0.48,11,"Little"
"Low",8.8,0.2,0.28,1.1,18,72,0.9926,2.97,0.35,10.4,"Little"
"Low",7.6,0.29,0.26,6.5,32,160,0.9944,3.14,0.47,10.7,"Little"
"Low",5.5,0.14,0.27,4.6,22,104,0.9949,3.34,0.44,9,"Little"
"Low",8.7,0.24,0.35,0.6,11,71,0.9926,3.08,0.38,10.6,"Little"
"Low",5.5,0.14,0.27,4.6,22,104,0.9949,3.34,0.44,9,"Little"
"Low",8.7,0.24,0.35,0.6,11,71,0.9926,3.08,0.38,10.6,"Little"
"Low",8.3,0.33,0.43,9.2,22,126,0.9982,3.38,0.47,9.3,"Little"
"Low",6.8,0.34,0.44,6.6,28,156,0.9955,3.14,0.41,9.6,"Lots"
"Low",6.8,0.33,0.44,7,29,155,0.9955,3.14,0.42,9.5,"Lots"
"High",6.3,0.28,0.24,8.45,32,172,0.9958,3.39,0.57,9.7,"Little"
"Low",11.8,0.23,0.38,11.1,15,123,0.9997,2.93,0.55,9.7,"Little"
"Low",6.8,0.21,0.27,18.15,41,146,1.0001,3.3,0.36,8.7,"Little"
"Low",6.8,0.21,0.27,18.15,41,146,1.0001,3.3,0.36,8.7,"Little"
"Low",8.6,0.485,0.29,4.1,19,101,0.9918,3.01,0.38,12.4,"Little"
"Low",8.6,0.485,0.29,4.1,19,101,0.9918,3.01,0.38,12.4,"Little"
"Low",6.8,0.21,0.27,18.15,41,146,1.0001,3.3,0.36,8.7,"Little"
"High",6.7,0.31,0.31,4.9,20,151,0.9926,3.36,0.82,12,"Little"
"Low",7.3,0.29,0.37,8.3,45,227,0.9966,3.12,0.47,9,"Little"
"Low",5.7,0.46,0.46,1.4,31,169,0.9932,3.13,0.47,8.8,"Little"
"Low",6.8,0.28,0.44,11.5,58,223,0.9969,3.22,0.56,9.5,"Little"
"Low",6.9,0.17,0.25,1.6,34,132,0.9914,3.16,0.48,11.4,"Little"
"Low",7.6,0.18,0.36,2.4,38,123,0.996,3.6,0.46,10.3,"Little"
"Low",7.8,0.27,0.28,1.8,21,127,0.9934,3.15,0.44,9.9,"Lots"
"Low",7.7,0.28,0.29,4.3,25,142,0.9939,3.16,0.39,10.2,"Lots"
"Low",7.6,0.29,0.29,4.4,26,146,0.9939,3.16,0.39,10.2,"Lots"
"High",7.1,0.33,0.25,1.6,25,126,0.9901,3.22,0.34,12.1,"Little"
"Low",6.6,0.23,0.27,5.6,43,164,0.9953,3.27,0.76,9.5,"Little"
"Low",6.6,0.27,0.29,5.3,57,189,0.9953,3.31,0.79,9.8,"Little"
"Low",7.6,0.18,0.36,2.4,38,123,0.996,3.6,0.46,10.3,"Little"
"Low",6.8,0.36,0.32,1.6,10,124,0.9948,3.3,0.67,9.6,"Little"
"Low",7.4,0.45,0.32,7.1,17,117,0.9962,3.32,0.41,10.4,"Little"
"Low",6.8,0.36,0.32,1.6,10,124,0.9948,3.3,0.67,9.6,"Little"
"Low",7.5,0.42,0.14,10.7,18,95,0.9959,3.22,0.33,10.7,"Little"
"Low",9.4,0.3,0.32,10.7,14,111,0.9958,2.85,0.42,10.6,"Little"
"Low",8.2,0.17,0.32,1.5,17,101,0.994,3.14,0.58,9.5,"Lots"
"Low",7.2,0.25,0.19,8,51,172,0.9964,3.16,0.44,9.2,"Little"
"Low",7.2,0.24,0.19,7.7,53,176,0.9958,3.17,0.38,9.5,"Little"
"Low",5.3,0.76,0.03,2.7,27,93,0.9932,3.34,0.38,9.2,"Little"
"Low",6.6,0.22,0.53,15.1,22,136,0.9986,2.94,0.35,9.4,"Lots"
"Low",6.6,0.22,0.53,15.1,22,136,0.9986,2.94,0.35,9.4,"Lots"
"Low",8.4,0.28,0.4,8.9,33,146,0.9988,3.4,0.46,9.3,"Little"
"Low",6.8,0.32,0.34,6,5,129,0.9953,3.19,0.4,9.1,"Lots"
"Low",6.7,0.24,0.33,12.3,31,145,0.9983,3.36,0.4,9.5,"Little"
"Low",6,0.16,0.3,6.7,43,153,0.9951,3.63,0.46,10.6,"Little"
"Low",6.7,0.24,0.33,12.3,31,145,0.9983,3.36,0.4,9.5,"Little"
"Low",6.2,0.34,0.3,11.1,28,237,0.9981,3.18,0.49,8.7,"Little"
"Low",6,0.27,0.15,1.5,35,128,0.9936,3.12,0.45,8.8,"Lots"
"Low",6,0.16,0.3,6.7,43,153,0.9951,3.63,0.46,10.6,"Little"
"Low",6.8,0.32,0.34,6,5,129,0.9953,3.19,0.4,9.1,"Lots"
"Low",8.5,0.24,0.47,15.2,40,234,1.0005,3.02,0.66,9,"Lots"
"Low",6.5,0.22,0.25,17.1,44,138,1.0001,3.3,0.37,8.8,"Lots"
"Low",6.5,0.22,0.25,17.1,44,138,1.0001,3.3,0.37,8.8,"Lots"
"Low",6.5,0.22,0.25,17.1,44,138,1.0001,3.3,0.37,8.8,"Lots"
"Low",5.7,0.33,0.15,1.9,20,93,0.9934,3.38,0.62,9.9,"Lots"
"Low",6.5,0.22,0.25,17.1,44,138,1.0001,3.3,0.37,8.8,"Lots"
"Low",6.8,0.2,0.27,1.2,19,68,0.9902,3.14,0.37,11.7,"Little"
"Low",7.7,0.26,0.32,1.2,26,117,0.993,3.21,0.56,10.8,"Little"
"Low",8,0.16,0.36,1.5,14,122,0.9941,3.2,0.39,10.3,"Little"
"Low",6.8,0.25,0.27,10.7,47,154,0.9967,3.05,0.38,9,"Lots"
"High",7.7,0.39,0.28,4.9,36,109,0.9918,3.19,0.58,12.2,"Little"
"Low",6.9,0.26,0.33,12.6,59,173,0.998,3.39,0.38,9.9,"Lots"
"Low",6.8,0.25,0.27,10.7,47,154,0.9967,3.05,0.38,9,"Lots"
"High",7.7,0.39,0.28,4.9,36,109,0.9918,3.19,0.58,12.2,"Little"
"Low",6,0.28,0.22,12.15,42,163,0.9957,3.2,0.46,10.1,"Little"
"Low",6.5,0.43,0.28,12,23,174,0.9986,3.31,0.55,9.3,"Lots"
"Low",9.1,0.33,0.38,1.7,50.5,344,0.9958,3.1,0.7,9.5,"Lots"
"Low",6.8,0.28,0.39,1.4,15,115,0.9918,3.27,0.72,11.7,"Little"
"Low",7,0.35,0.24,1.9,21,144,0.9923,3.35,0.38,11,"Little"
"Low",7.2,0.16,0.26,7.1,41,224,0.9966,3.38,0.55,10.1,"Lots"
"Low",7.2,0.16,0.26,7.1,41,224,0.9966,3.38,0.55,10.1,"Lots"
"Low",5.5,0.24,0.32,8.7,19,102,0.994,3.27,0.31,10.4,"Lots"
